row_hash,issue_code,affected_scope,affected_from,affected_to,decision,severity,signal_blocking,details
c6f48e51c2b0c740,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-27,2021-08-27,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0466453674121405}"
d1927d90e1082c0f,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-08-31,2021-08-31,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9866941529235382}"
3f8a2eabbc3e16e6,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-01,2021-09-01,QUARANTINE,WARNING,False,"{""factor_ratio"":0.6005434782608695}"
7e9ed5e8a70b675b,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-01,2021-09-01,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9554334554334554}"
8e6cc2bcf74a36bc,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-01,2021-09-01,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0134852801519467}"
ac3b1736e52336e7,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-06,2021-09-06,QUARANTINE,WARNING,False,"{""factor_ratio"":0.5000000000000000}"
d68bfd0edf8045c8,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-10,2021-09-10,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0399361022364217}"
1358e552c7469e9f,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-13,2021-09-13,QUARANTINE,WARNING,False,"{""factor_ratio"":0.7393800229621126}"
fa3adcbecb69e05c,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-13,2021-09-13,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9585055887306690}"
743e48f313125f82,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-14,2021-09-14,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0399681528662421}"
93f8db72e31298b3,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-15,2021-09-15,QUARANTINE,WARNING,False,"{""factor_ratio"":0.6200527704485488}"
b600d06068198ea0,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-15,2021-09-15,QUARANTINE,WARNING,False,"{""factor_ratio"":0.6655948553054662}"
bc3b1f6fa5f02a7c,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-16,2021-09-16,QUARANTINE,WARNING,False,"{""factor_ratio"":0.5827956989247312}"
076ddd8b865632e8,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-16,2021-09-16,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9554334554334554}"
e03cb1ff08da72b7,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-16,2021-09-16,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0646186440677965}"
bc1532f13a335cce,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-16,2021-09-16,QUARANTINE,WARNING,False,"{""factor_ratio"":1.1003460207612457}"
cad0fedfbe89bf28,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-17,2021-09-17,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0131530873218852}"
a018ccaaf36e7552,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-23,2021-09-23,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9870176703930762}"
8bc9fb49361af25c,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-24,2021-09-24,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0131530873218852}"
189432deeebc6b4b,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-27,2021-09-27,QUARANTINE,WARNING,False,"{""factor_ratio"":0.5000000000000000}"
db7c9e1b34553d6a,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-29,2021-09-29,QUARANTINE,WARNING,False,"{""factor_ratio"":0.6929260450160771}"
434109c710dbcf5c,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-09-30,2021-09-30,QUARANTINE,WARNING,False,"{""factor_ratio"":1.0433121019108280}"
ee2c80abe79fc582,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-05,2021-10-05,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9833073028825594}"
3f3f857d24088472,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-06,2021-10-06,QUARANTINE,WARNING,False,"{""factor_ratio"":0.8953101574837649}"
2b62012f9c6f0bb1,UNEXPLAINED_VENDOR_FACTOR,PRICE_SERIES_AT_DATE,2021-10-06,2021-10-06,QUARANTINE,WARNING,False,"{""factor_ratio"":0.9584859584859584}"
